"colour_image_dir","box_image_dir","label_text","turn_left","move_forward","turn_right","stop","xmin","ymin","xmax","ymax"
"cv2_colour_-1.png","cv2_single_-1.png","Not moving","0","0","0","1","14","93","242","256"
"cv2_colour_0.png","cv2_single_0.png","Not moving","0","0","0","1","18","87","244","254"
"cv2_colour_1.png","cv2_single_1.png","Not moving","0","0","0","1","18","85","246","254"
"cv2_colour_2.png","cv2_single_2.png","Not moving","0","0","0","1","17","85","244","254"
"cv2_colour_3.png","cv2_single_3.png","Not moving","0","0","0","1","16","85","244","254"
"cv2_colour_4.png","cv2_single_4.png","Not moving","0","0","0","1","15","85","243","254"
"cv2_colour_5.png","cv2_single_5.png","Not moving","0","0","0","1","15","85","243","254"
"cv2_colour_6.png","cv2_single_6.png","Not moving","0","0","0","1","15","85","243","254"
"cv2_colour_7.png","cv2_single_7.png","Not moving","0","0","0","1","15","86","243","254"
"cv2_colour_8.png","cv2_single_8.png","Not moving","0","0","0","1","14","85","240","254"
"cv2_colour_9.png","cv2_single_9.png","Not moving","0","0","0","1","14","86","238","254"
"cv2_colour_10.png","cv2_single_10.png","Not moving","0","0","0","1","18","87","236","254"
"cv2_colour_11.png","cv2_single_11.png","Not moving","0","0","0","1","20","86","234","254"
"cv2_colour_-1.png","cv2_single_-1.png","Not moving","0","0","0","1","0","1","233","255"
"cv2_colour_0.png","cv2_single_0.png","Not moving","0","0","0","1","15","34","224","254"
"cv2_colour_1.png","cv2_single_1.png","Not moving","0","0","0","1","12","35","230","254"
"cv2_colour_2.png","cv2_single_2.png","Not moving","0","0","0","1","8","31","238","254"
"cv2_colour_3.png","cv2_single_3.png","Not moving","0","0","0","1","5","30","238","254"
"cv2_colour_4.png","cv2_single_4.png","Not moving","0","0","0","1","7","27","241","254"
"cv2_colour_5.png","cv2_single_5.png","Not moving","0","0","0","1","5","24","245","254"
"cv2_colour_6.png","cv2_single_6.png","Not moving","0","0","0","1","6","26","246","254"
"cv2_colour_7.png","cv2_single_7.png","Not moving","0","0","0","1","5","29","247","254"
"cv2_colour_8.png","cv2_single_8.png","Not moving","0","0","0","1","4","29","248","254"
"cv2_colour_9.png","cv2_single_9.png","Not moving","0","0","0","1","6","31","248","254"
"cv2_colour_10.png","cv2_single_10.png","Not moving","0","0","0","1","6","36","247","254"
"cv2_colour_11.png","cv2_single_11.png","Not moving","0","0","0","1","5","38","248","254"
"cv2_colour_12.png","cv2_single_12.png","Not moving","0","0","0","1","4","38","247","254"
"cv2_colour_13.png","cv2_single_13.png","Not moving","0","0","0","1","15","46","238","254"
"cv2_colour_14.png","cv2_single_14.png","Not moving","0","0","0","1","15","49","232","254"
"cv2_colour_15.png","cv2_single_15.png","Not moving","0","0","0","1","24","49","220","254"
"cv2_colour_16.png","cv2_single_16.png","Not moving","0","0","0","1","30","44","217","254"
"cv2_colour_17.png","cv2_single_17.png","Not moving","0","0","0","1","40","46","222","254"
